firstname,surname,bornCountry,bornCountryCode,gender,year,category,motivation
Ernesto Teodoro,Moneta,Austrian Empire (now Italy),ITA,male,1907,peace,
Yoshinori,Ohsumi,Japan,JPN,male,2016,medicine,"""for his discoveries of mechanisms for autophagy"""
Susumu,Tonegawa,Japan,JPN,male,1987,medicine,"""for his discovery of the genetic principle for generation of antibody diversity"""
Yasunari,Kawabata,Japan,JPN,male,1968,literature,"""for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind"""
Hideki,Yukawa,Japan,JPN,male,1949,physics,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces"""
Hideki,Yukawa,Japan,JPN,male,1949,physics,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces"""
Akira,Suzuki,Japan,JPN,male,2010,chemistry,"""for palladium-catalyzed cross couplings in organic synthesis"""
Masatoshi,Koshiba,Japan,JPN,male,2002,physics,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"""
Hideki,Shirakawa,Japan,JPN,male,2000,chemistry,"""for the discovery and development of conductive polymers"""
Osamu,Shimomura,Japan,JPN,male,2008,chemistry,"""for the discovery and development of the green fluorescent protein, GFP"""
Osamu,Shimomura,Japan,JPN,male,2008,chemistry,"""for the discovery and development of the green fluorescent protein, GFP"""
Takaaki,Kajita,Japan,JPN,male,2015,physics,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass"""
Yoichiro,Nambu,Japan,JPN,male,2008,physics,"""for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics"""
Toshihide,Maskawa,Japan,JPN,male,2008,physics,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature"""
Toshihide,Maskawa,Japan,JPN,male,2008,physics,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature"""
Makoto,Kobayashi,Japan,JPN,male,2008,physics,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature"""
Shinya,Yamanaka,Japan,JPN,male,2012,medicine,"""for the discovery that mature cells can be reprogrammed to become pluripotent"""
Shinya,Yamanaka,Japan,JPN,male,2012,medicine,"""for the discovery that mature cells can be reprogrammed to become pluripotent"""
Hiroshi,Amano,Japan,JPN,male,2014,physics,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"""
Isamu,Akasaki,Japan,JPN,male,2014,physics,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"""
Isamu,Akasaki,Japan,JPN,male,2014,physics,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"""
Shuji,Nakamura,Japan,JPN,male,2014,physics,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"""
Koichi,Tanaka,Japan,JPN,male,2002,chemistry,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules"""
Leo,Esaki,Japan,JPN,male,1973,physics,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively"""
Sin-Itiro,Tomonaga,Japan,JPN,male,1965,physics,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles"""
Kenichi,Fukui,Japan,JPN,male,1981,chemistry,"""for their theories, developed independently, concerning the course of chemical reactions"""
Ryoji,Noyori,Japan,JPN,male,2001,chemistry,"""for their work on chirally catalysed hydrogenation reactions"""
Kenzaburo,Oe,Japan,JPN,male,1994,literature,"""who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today"""
Eisaku,Sato,Japan,JPN,male,1974,peace,
Wangari Muta,Maathai,Kenya,KEN,female,2004,peace,"""for her contribution to sustainable development, democracy and peace"""
Kim,Dae-jung,Korea (now South Korea),KOR,male,2000,peace,"""for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular"""
Charles J.,Pedersen,Korea (now South Korea),KOR,male,1987,chemistry,"""for their development and use of molecules with structure-specific interactions of high selectivity"""
Derek,Walcott,Saint Lucia,LCA,male,1992,literature,"""for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment"""
Sir Arthur,Lewis,British West Indies (now Saint Lucia),LCA,male,1979,economics,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries"""
Ellen,Johnson Sirleaf,Liberia,LBR,female,2011,peace,"""for their non-violent struggle for the safety of women and for women&apos"
Leymah,Gbowee,Liberia,LBR,female,2011,peace,"""for their non-violent struggle for the safety of women and for women&apos"
Aaron,Klug,Lithuania,LTU,male,1982,chemistry,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes"""
Andrew V.,Schally,Poland (now Lithuania),LTU,male,1977,medicine,"""for their discoveries concerning the peptide hormone production of the brain"""
Gabriel,Lippmann,Luxembourg,LUX,male,1908,physics,"""for his method of reproducing colours photographically based on the phenomenon of interference"""
Jules A.,Hoffmann,Luxembourg,LUX,male,2011,medicine,"""for their discoveries concerning the activation of innate immunity"""
Wilhelm,Ostwald,Russian Empire (now Latvia),LVA,male,1909,chemistry,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction"""
Serge,Haroche,Morocco,MAR,male,2012,physics,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems"""
Serge,Haroche,Morocco,MAR,male,2012,physics,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems"""
Claude,Simon,Madagascar,MG,male,1985,literature,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition"""
Mother Teresa,,Ottoman Empire (now Republic of Macedonia),MKD,female,1979,peace,
Aung San Suu Kyi,,Burma (now Myanmar),MMR,female,1991,peace,"""for her non-violent struggle for democracy and human rights"""
Octavio,Paz,Mexico,MEX,male,1990,literature,"""for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity"""
Mario J.,Molina,Mexico,MEX,male,1995,chemistry,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"""
Alfonso,GarcÕa Robles,Mexico,MEX,male,1982,peace,
Wole,Soyinka,Nigeria,NGA,male,1986,literature,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence"""
Martinus J.G.,Veltman,the Netherlands,NLD,male,1999,physics,"""for elucidating the quantum structure of electroweak interactions in physics"""
Gerardus,'t Hooft,the Netherlands,NLD,male,1999,physics,"""for elucidating the quantum structure of electroweak interactions in physics"""
Jan,Tinbergen,the Netherlands,NLD,male,1969,economics,"""for having developed and applied dynamic models for the analysis of economic processes"""
Petrus (Peter) Josephus Wilhelmus,Debye,the Netherlands,NLD,male,1936,chemistry,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases"""
Petrus (Peter) Josephus Wilhelmus,Debye,the Netherlands,NLD,male,1936,chemistry,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases"""
Frits,Zernike,the Netherlands,NLD,male,1953,physics,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope"""
Christiaan,Eijkman,the Netherlands,NLD,male,1929,medicine,"""for his discovery of the antineuritic vitamin"""
Heike,Kamerlingh Onnes,the Netherlands,NLD,male,1913,physics,"""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium"""
Johannes Diderik,van der Waals,the Netherlands,NLD,male,1910,physics,"""for his work on the equation of state for gases and liquids"""
Bernard L.,Feringa,the Netherlands,NLD,male,2016,chemistry,"""for the design and synthesis of molecular machines"""
Nicolaas,Bloembergen,the Netherlands,NLD,male,1981,physics,"""for their contribution to the development of laser spectroscopy"""
Tjalling C.,Koopmans,the Netherlands,NLD,male,1975,economics,"""for their contributions to the theory of optimum allocation of resources"""
Simon,van der Meer,the Netherlands,NLD,male,1984,physics,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"""
Nikolaas,Tinbergen,the Netherlands,NLD,male,1973,medicine,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns"""
Paul J.,Crutzen,the Netherlands,NLD,male,1995,chemistry,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"""
Pieter,Zeeman,the Netherlands,NLD,male,1902,physics,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena"""
Hendrik Antoon,Lorentz,the Netherlands,NLD,male,1902,physics,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena"""
Jacobus Henricus,van 't Hoff,the Netherlands,NLD,male,1901,chemistry,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions"""
Tobias Michael Carel,Asser,the Netherlands,NLD,male,1911,peace,
May-Britt,Moser,Norway,NOR,female,2014,medicine,"""for their discoveries of cells that constitute a positioning system in the brain"""
BjÀrnstjerne Martinus,BjÀrnson,Norway,NOR,male,1903,literature,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit"""
Ragnar,Frisch,Norway,NOR,male,1969,economics,"""for having developed and applied dynamic models for the analysis of economic processes"""
Trygve,Haavelmo,Norway,NOR,male,1989,economics,"""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures"""
Knut Pedersen,Hamsun,Norway,NOR,male,1920,literature,"""for his monumental work, <I>Growth of the Soil</I>"""
Lars,Onsager,Norway,NOR,male,1968,chemistry,"""for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes"""
Finn E.,Kydland,Norway,NOR,male,2004,economics,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles"""
Finn E.,Kydland,Norway,NOR,male,2004,economics,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles"""
Odd,Hassel,Norway,NOR,male,1969,chemistry,"""for their contributions to the development of the concept of conformation and its application in chemistry"""
Edvard I.,Moser,Norway,NOR,male,2014,medicine,"""for their discoveries of cells that constitute a positioning system in the brain"""
Ivar,Giaever,Norway,NOR,male,1973,physics,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively"""
Fridtjof,Nansen,Norway,NOR,male,1922,peace,
Christian Lous,Lange,Norway,NOR,male,1921,peace,
Ernest,Rutherford,New Zealand,NZL,male,1908,chemistry,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances"""
Alan G.,MacDiarmid,New Zealand,NZL,male,2000,chemistry,"""for the discovery and development of conductive polymers"""
Maurice Hugh Frederick,Wilkins,New Zealand,NZL,male,1962,medicine,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material"""
Mario,Vargas Llosa,Peru,PER,male,2010,literature,"""for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat"""
Malala,Yousafzai,Pakistan,PAK,female,2014,peace,"""for their struggle against the suppression of children and young people and for the right of all children to education"""
Subramanyan,Chandrasekhar,India (now Pakistan),PAK,male,1983,physics,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars"""
Wislawa,Szymborska,Poland,POL,female,1996,literature,"""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality"""
Maria,Goeppert Mayer,Germany (now Poland),POL,female,1963,physics,"""for their discoveries concerning nuclear shell structure"""
Marie,"Curie, n_e Sklodowska",Russian Empire (now Poland),POL,female,1911,chemistry,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element"""
Marie,"Curie, n_e Sklodowska",Russian Empire (now Poland),POL,female,1903,physics,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"""
Henryk,Sienkiewicz,Poland,POL,male,1905,literature,"""because of his outstanding merits as an epic writer"""
Otto,Stern,Germany (now Poland),POL,male,1943,physics,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton"""
Max,Born,Germany (now Poland),POL,male,1954,physics,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction"""
Wladyslaw Stanislaw,Reymont,Russian Empire (now Poland),POL,male,1924,literature,"""for his great national epic, <I>The Peasants</I>"""
Isaac Bashevis,Singer,Russian Empire (now Poland),POL,male,1978,literature,"""for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life"""
Georges,Charpak,Poland,POL,male,1992,physics,"""for his invention and development of particle detectors, in particular the multiwire proportional chamber"""
Georges,Charpak,Poland,POL,male,1992,physics,"""for his invention and development of particle detectors, in particular the multiwire proportional chamber"""
Albert Abraham,Michelson,Prussia (now Poland),POL,male,1907,physics,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid"""
Isidor Isaac,Rabi,Austria-Hungary (now Poland),POL,male,1944,physics,"""for his resonance method for recording the magnetic properties of atomic nuclei"""
Gerhard,Domagk,Germany (now Poland),POL,male,1939,medicine,"""for the discovery of the antibacterial effects of prontosil"""
Klaus,von Klitzing,German-occupied Poland (now Poland),POL,male,1985,physics,"""for the discovery of the quantized Hall effect"""
GÙnter,Blobel,Germany (now Poland),POL,male,1999,medicine,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell"""
GÙnter,Blobel,Germany (now Poland),POL,male,1999,medicine,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell"""
Fritz,Haber,Prussia (now Poland),POL,male,1918,chemistry,"""for the synthesis of ammonia from its elements"""
Konrad,Bloch,Germany (now Poland),POL,male,1964,medicine,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism"""
Tadeus,Reichstein,Poland,POL,male,1950,medicine,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects"""
Kurt,Alder,Prussia (now Poland),POL,male,1950,chemistry,"""for their discovery and development of the diene synthesis"""
Joseph,Rotblat,Russian Empire (now Poland),POL,male,1995,peace,"""for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms"""
Reinhard,Selten,Germany (now Poland),POL,male,1994,economics,"""for their pioneering analysis of equilibria in the theory of non-cooperative games"""
Friedrich,Bergius,Germany (now Poland),POL,male,1931,chemistry,"""in recognition of their contributions to the invention and development of chemical high pressure methods"""
Friedrich,Bergius,Germany (now Poland),POL,male,1931,chemistry,"""in recognition of their contributions to the invention and development of chemical high pressure methods"""
Paul,Ehrlich,Prussia (now Poland),POL,male,1908,medicine,"""in recognition of their work on immunity"""
Paul,Ehrlich,Prussia (now Poland),POL,male,1908,medicine,"""in recognition of their work on immunity"""
GÙnter,Grass,Free City of Danzig (now Poland),POL,male,1999,literature,"""whose frolicsome black fables portray the forgotten face of history"""
Lech,Walesa,Poland,POL,male,1983,peace,
Antonio Caetano de Abreu Freire Egas,Moniz,Portugal,POL,male,1949,medicine,"""for his discovery of the therapeutic value of leucotomy in certain psychoses"""
Antonio Caetano de Abreu Freire Egas,Moniz,Portugal,POL,male,1949,medicine,"""for his discovery of the therapeutic value of leucotomy in certain psychoses"""
Jos_,Saramago,Portugal,POL,male,1998,literature,"""who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality"""
Herta,MÙller,Romania,ROU,female,2009,literature,"""who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed"""
Stefan W.,Hell,Romania,ROU,male,2014,chemistry,"""for the development of super-resolved fluorescence microscopy"""
Stefan W.,Hell,Romania,ROU,male,2014,chemistry,"""for the development of super-resolved fluorescence microscopy"""
George E.,Palade,Romania,ROU,male,1974,medicine,"""for their discoveries concerning the structural and functional organization of the cell"""
Elie,Wiesel,Romania,ROU,male,1986,peace,
Joseph,Brodsky,USSR (now Russia),RUS,male,1987,literature,"""for an all-embracing authorship, imbued with clarity of thought and poetic intensity"""
Nicolay Gennadiyevich,Basov,USSR (now Russia),RUS,male,1964,physics,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"""
Andre,Geim,Russia,RUS,male,2010,physics,"""for groundbreaking experiments regarding the two-dimensional material graphene"""
Konstantin,Novoselov,Russia,RUS,male,2010,physics,"""for groundbreaking experiments regarding the two-dimensional material graphene"""
Leonid,Hurwicz,Russia,RUS,male,2007,economics,"""for having laid the foundations of mechanism design theory"""
Pyotr Leonidovich,Kapitsa,Russian Empire (now Russia),RUS,male,1978,physics,"""for his basic inventions and discoveries in the area of low-temperature physics"""
Ilya,Prigogine,Russia,RUS,male,1977,chemistry,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures"""
Ilya,Prigogine,Russia,RUS,male,1977,chemistry,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures"""
Wilhelm,Wien,Prussia (now Russia),RUS,male,1911,physics,"""for his discoveries regarding the laws governing the radiation of heat"""
Fritz Albert,Lipmann,Germany (now Russia),RUS,male,1953,medicine,"""for his discovery of co-enzyme A and its importance for intermediary metabolism"""
Fritz Albert,Lipmann,Germany (now Russia),RUS,male,1953,medicine,"""for his discovery of co-enzyme A and its importance for intermediary metabolism"""
Boris Leonidovich,Pasternak,Russia,RUS,male,1958,literature,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition"""
Martti,Ahtisaari,Finland (now Russia),RUS,male,2008,peace,"""for his important efforts, on several continents and over more than three decades, to resolve international conflicts"""
Paul,Karrer,Russia,RUS,male,1937,chemistry,"""for his investigations on carotenoids, flavins and vitamins A and B2"""
Mikhail Sergeyevich,Gorbachev,USSR (now Russia),RUS,male,1990,peace,"""for his leading role in the peace process which today characterizes important parts of the international community"""
Alexei A.,Abrikosov,USSR (now Russia),RUS,male,2003,physics,"""for pioneering contributions to the theory of superconductors and superfluids"""
Vitaly L.,Ginzburg,Russia,RUS,male,2003,physics,"""for pioneering contributions to the theory of superconductors and superfluids"""
Mikhail Aleksandrovich,Sholokhov,Russia,RUS,male,1965,literature,"""for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people"""
Wassily,Leontief,Russia,RUS,male,1973,economics,"""for the development of the input-output method and for its application to important economic problems"""
Pavel Alekseyevich,Cherenkov,Russia,RUS,male,1958,physics,"""for the discovery and the interpretation of the Cherenkov effect"""
IlÇja Mikhailovich,Frank,Russia,RUS,male,1958,physics,"""for the discovery and the interpretation of the Cherenkov effect"""
IlÇja Mikhailovich,Frank,Russia,RUS,male,1958,physics,"""for the discovery and the interpretation of the Cherenkov effect"""
Igor Yevgenyevich,Tamm,Russia,RUS,male,1958,physics,"""for the discovery and the interpretation of the Cherenkov effect"""
Igor Yevgenyevich,Tamm,Russia,RUS,male,1958,physics,"""for the discovery and the interpretation of the Cherenkov effect"""
Aleksandr Isayevich,Solzhenitsyn,Russia,RUS,male,1970,literature,"""for the ethical force with which he has pursued the indispensable traditions of Russian literature"""
Ivan Alekseyevich,Bunin,Russia,RUS,male,1933,literature,"""for the strict artistry with which he has carried on the classical Russian traditions in prose writing"""
Leonid Vitaliyevich,Kantorovich,Russian Empire (now Russia),RUS,male,1975,economics,"""for their contributions to the theory of optimum allocation of resources"""
Nikolay Nikolaevich,Semenov,Russia,RUS,male,1956,chemistry,"""for their researches into the mechanism of chemical reactions"""
Otto,Wallach,Germany (now Russia),RUS,male,1910,chemistry,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds"""
Ivan Petrovich,Pavlov,Russia,RUS,male,1904,medicine,"""in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged"""
Andrei Dmitrievich,Sakharov,Russia,RUS,male,1975,peace,
Selma Ottilia Lovisa,Lagerl_f,Sweden,SWE,female,1909,literature,"""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings"""
Alva,Myrdal,Sweden,SWE,female,1982,peace,
Tomas,Transtr_mer,Sweden,SWE,male,2011,literature,"""because, through his condensed, translucent images, he gives us fresh access to reality"""
Eyvind,Johnson,Sweden,SWE,male,1974,literature,"""for a narrative art, far-seeing in lands and ages, in the service of freedom"""
Hannes Olof G_sta,Alfv_n,Sweden,SWE,male,1970,physics,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics"""
Kai M.,Siegbahn,Sweden,SWE,male,1981,physics,"""for his contribution to the development of high-resolution electron spectroscopy"""
Karl Manne Georg,Siegbahn,Sweden,SWE,male,1924,physics,"""for his discoveries and research in the field of X-ray spectroscopy"""
Axel Hugo Theodor,Theorell,Sweden,SWE,male,1955,medicine,"""for his discoveries concerning the nature and mode of action of oxidation enzymes"""
Nils Gustaf,Dal_n,Sweden,SWE,male,1912,physics,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys"""
Arne Wilhelm Kaurin,Tiselius,Sweden,SWE,male,1948,chemistry,"""for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins"""
The (Theodor),Svedberg,Sweden,SWE,male,1926,chemistry,"""for his work on disperse systems"""
Allvar,Gullstrand,Sweden,SWE,male,1911,medicine,"""for his work on the dioptrics of the eye"""
Tomas,Lindahl,Sweden,SWE,male,2015,chemistry,"""for mechanistic studies of DNA repair"""
Tomas,Lindahl,Sweden,SWE,male,2015,chemistry,"""for mechanistic studies of DNA repair"""
P_r Fabian,Lagerkvist,Sweden,SWE,male,1951,literature,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind"""
Torsten N.,Wiesel,Sweden,SWE,male,1981,medicine,"""for their discoveries concerning information processing in the visual system"""
Bengt I.,Samuelsson,Sweden,SWE,male,1982,medicine,"""for their discoveries concerning prostaglandins and related biologically active substances"""
Sune K.,Bergstr_m,Sweden,SWE,male,1982,medicine,"""for their discoveries concerning prostaglandins and related biologically active substances"""
Arvid,Carlsson,Sweden,SWE,male,2000,medicine,"""for their discoveries concerning signal transduction in the nervous system"""
Ulf,von Euler,Sweden,SWE,male,1970,medicine,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation"""
Bertil,Ohlin,Sweden,SWE,male,1977,economics,"""for their pathbreaking contribution to the theory of international trade and international capital movements"""
Gunnar,Myrdal,Sweden,SWE,male,1974,economics,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena"""
Harry,Martinson,Sweden,SWE,male,1974,literature,"""for writings that catch the dewdrop and reflect the cosmos"""
Carl Gustaf Verner,von Heidenstam,Sweden,SWE,male,1916,literature,"""in recognition of his significance as the leading representative of a new era in our literature"""
Svante August,Arrhenius,Sweden,SWE,male,1903,chemistry,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation"""
Erik Axel,Karlfeldt,Sweden,SWE,male,1931,literature,"""The poetry of Erik Axel Karlfeldt"""
Dag Hjalmar Agne Carl,Hammarskj_ld,Sweden,SWE,male,1961,peace,
Klas Pontus,Arnoldson,Sweden,SWE,male,1908,peace,
Karl Hjalmar,Branting,Sweden,SWE,male,1921,peace,
Lars Olof Jonathan (Nathan),S_derblom,Sweden,SWE,male,1930,peace,
Fritz,Pregl,Austria-Hungary (now Slovenia),SVN,male,1923,chemistry,"""for his invention of the method of micro-analysis of organic substances"""
Philipp Eduard Anton,von Lenard,Hungary (now Slovakia),SVK,male,1905,physics,"""for his work on cathode rays"""
Carlos Filipe Ximenes,Belo,East Timor,TLS,male,1996,peace,"""for their work towards a just and peaceful solution to the conflict in East Timor"""
Jos_,Ramos-Horta,East Timor,TLS,male,1996,peace,"""for their work towards a just and peaceful solution to the conflict in East Timor"""
Giorgos,Seferis,Ottoman Empire (now Turkey),TUR,male,1963,literature,"""for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture"""
Aziz,Sancar,Turkey,TUR,male,2015,chemistry,"""for mechanistic studies of DNA repair"""
Orhan,Pamuk,Turkey,TUR,male,2006,literature,"""who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures"""
Sir Vidiadhar Surajprasad,Naipaul,Trinidad,TTO,male,2001,literature,"""for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories"""
Yuan T.,Lee,Taiwan,TWN,male,1986,chemistry,"""for their contributions concerning the dynamics of chemical elementary processes"""
Svetlana,Alexievich,Ukraine,UKR,female,2015,literature,"""for her polyphonic writings, a monument to suffering and courage in our time"""
Selman Abraham,Waksman,Russian Empire (now Ukraine),UKR,male,1952,medicine,"""for his discovery of streptomycin, the first antibiotic effective against tuberculosis"""
Shmuel Yosef,Agnon,Austria-Hungary (now Ukraine),UKR,male,1966,literature,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people"""
Roald,Hoffmann,Poland (now Ukraine),UKR,male,1981,chemistry,"""for their theories, developed independently, concerning the course of chemical reactions"""
Ilya Ilyich,Mechnikov,Russian Empire (now Ukraine),UKR,male,1908,medicine,"""in recognition of their work on immunity"""
Elinor,Ostrom,USA,USA,female,2009,economics,"""for her analysis of economic governance, especially the commons"""
Elinor,Ostrom,USA,USA,female,2009,economics,"""for her analysis of economic governance, especially the commons"""
Barbara,McClintock,USA,USA,female,1983,medicine,"""for her discovery of mobile genetic elements"""
Pearl,Buck,USA,USA,female,1938,literature,"""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces"""
Rosalyn,Yalow,USA,USA,female,1977,medicine,"""for the development of radioimmunoassays of peptide hormones"""
Carol W.,Greider,USA,USA,female,2009,medicine,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase"""
Gertrude B.,Elion,USA,USA,female,1988,medicine,"""for their discoveries of important principles for drug treatment"""
Linda B.,Buck,USA,USA,female,2004,medicine,"""for their discoveries of odorant receptors and the organization of the olfactory system"""
Jody,Williams,USA,USA,female,1997,peace,"""for their work for the banning and clearing of anti-personnel mines"""
Toni,Morrison,USA,USA,female,1993,literature,"""who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality"""
Jane,Addams,USA,USA,female,1931,peace,
Emily Greene,Balch,USA,USA,female,1946,peace,
Robert C.,Merton,USA,USA,male,1997,economics,"""for a new method to determine the value of derivatives"""
William D.,Phillips,USA,USA,male,1997,physics,"""for development of methods to cool and trap atoms with laser light"""
Steven,Chu,USA,USA,male,1997,physics,"""for development of methods to cool and trap atoms with laser light"""
Charles Hard,Townes,USA,USA,male,1964,physics,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"""
David J.,Wineland,USA,USA,male,2012,physics,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems"""
David J.,Wineland,USA,USA,male,2012,physics,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems"""
Robert E.,Lucas Jr.,USA,USA,male,1995,economics,"""for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy"""
Thomas C.,Schelling,USA,USA,male,2005,economics,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis"""
Vernon L.,Smith,USA,USA,male,2002,economics,"""for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms"""
Gary S.,Becker,USA,USA,male,1992,economics,"""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour"""
Roger B.,Myerson,USA,USA,male,2007,economics,"""for having laid the foundations of mechanism design theory"""
Eric S.,Maskin,USA,USA,male,2007,economics,"""for having laid the foundations of mechanism design theory"""
Robert W.,Fogel,USA,USA,male,1993,economics,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change"""
Douglass C.,North,USA,USA,male,1993,economics,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change"""
Milton,Friedman,USA,USA,male,1976,economics,"""for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy"""
