firstname,surname,bornCountry,bornCountryCode,gender,year,category,motivation
Robert J.,Aumann,Germany,DEU,male,2005,economics,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis"""
Eduard,Buchner,Bavaria (now Germany),DEU,male,1907,chemistry,"""for his biochemical researches and his discovery of cell-free fermentation"""
Gerhard,Herzberg,Germany,DEU,male,1971,chemistry,"""for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals"""
Hermann,Staudinger,Germany,DEU,male,1953,chemistry,"""for his discoveries in the field of macromolecular chemistry"""
Hermann,Staudinger,Germany,DEU,male,1953,chemistry,"""for his discoveries in the field of macromolecular chemistry"""
Harald,zur Hausen,Germany,DEU,male,2008,medicine,"""for his discovery of human papilloma viruses causing cervical cancer"""
Hans Adolf,Krebs,Germany,DEU,male,1953,medicine,"""for his discovery of the citric acid cycle"""
Max,von Laue,Germany,DEU,male,1914,physics,"""for his discovery of the diffraction of X-rays by crystals"""
Johannes,Stark,Germany,DEU,male,1919,physics,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields"""
Otto,Hahn,Germany,DEU,male,1944,chemistry,"""for his discovery of the fission of heavy nuclei"""
Otto Fritz,Meyerhof,Germany,DEU,male,1922,medicine,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle"""
Otto Heinrich,Warburg,Germany,DEU,male,1931,medicine,"""for his discovery of the nature and mode of action of the respiratory enzyme"""
Ernst,Ruska,Germany,DEU,male,1986,physics,"""for his fundamental work in electron optics, and for the design of the first electron microscope"""
Hermann,Hesse,Germany,DEU,male,1946,literature,"""for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style"""
Robert,Koch,Germany,DEU,male,1905,medicine,"""for his investigations and discoveries in relation to tuberculosis"""
Heinrich Otto,Wieland,Germany,DEU,male,1927,chemistry,"""for his investigations of the constitution of the bile acids and related substances"""
Polykarp,Kusch,Germany,DEU,male,1955,physics,"""for his precision determination of the magnetic moment of the electron"""
Rudolf Ludwig,M_ssbauer,Germany,DEU,male,1961,physics,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name"""
Rudolf Ludwig,M_ssbauer,Germany,DEU,male,1961,physics,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name"""
Hans,Fischer,Germany,DEU,male,1930,chemistry,"""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin"""
Richard Martin,Willst_tter,Germany,DEU,male,1915,chemistry,"""for his researches on plant pigments, especially chlorophyll"""
Albert,Einstein,Germany,DEU,male,1921,physics,"""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect"""
Gerhard,Ertl,Germany,DEU,male,2007,chemistry,"""for his studies of chemical processes on solid surfaces"""
Adolf Friedrich Johann,Butenandt,Germany,DEU,male,1939,chemistry,"""for his work on sex hormones"""
Adolf Friedrich Johann,Butenandt,Germany,DEU,male,1939,chemistry,"""for his work on sex hormones"""
Heinrich,B_ll,Germany,DEU,male,1972,literature,"""for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature"""
