firstname,surname,bornCountryCode,gender,year,category,share,motivation
George E.,Smith,US,male,2009,physics,4,"""for the invention of an imaging semiconductor circuit - the CCD sensor"""
Willard S.,Boyle,CA,male,2009,physics,4,"""for the invention of an imaging semiconductor circuit - the CCD sensor"""
Hiroshi,Amano,JP,male,2014,physics,3,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"""
Isamu,Akasaki,JP,male,2014,physics,3,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"""
Isamu,Akasaki,JP,male,2014,physics,3,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"""
Shuji,Nakamura,JP,male,2014,physics,3,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"""
Donald Arthur,Glaser,US,male,1960,physics,1,"""for the invention of the bubble chamber"""
Norman F.,Ramsey,US,male,1989,physics,2,"""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks"""
Leon M.,Lederman,US,male,1988,physics,3,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"""
Jack,Steinberger,DE,male,1988,physics,3,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"""
Melvin,Schwartz,US,male,1988,physics,3,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"""
Eugene Gladstone,O'Neill,US,male,1936,literature,1,"""for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy"""
Johannes Vilhelm,Jensen,DK,male,1944,literature,1,"""for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style"""
Paul A.,Samuelson,US,male,1970,economics,1,"""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science"""
Adolf Otto Reinhold,Windaus,DE,male,1928,chemistry,1,"""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins"""
Saint-John,Perse,GP,male,1960,literature,1,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time"""
Ivan Alekseyevich,Bunin,RU,male,1933,literature,1,"""for the strict artistry with which he has carried on the classical Russian traditions in prose writing"""
Fritz,Haber,PL,male,1918,chemistry,1,"""for the synthesis of ammonia from its elements"""
Fran�ois,Englert,BE,male,2013,physics,2,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider"""
Peter W.,Higgs,GB,male,2013,physics,2,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider"""
Alvin E.,Roth,US,male,2012,economics,2,"""for the theory of stable allocations and the practice of market design"""
Alvin E.,Roth,US,male,2012,economics,2,"""for the theory of stable allocations and the practice of market design"""
Lloyd S.,Shapley,US,male,2012,economics,2,"""for the theory of stable allocations and the practice of market design"""
George A.,Akerlof,US,male,2001,economics,3,"""for their analyses of markets with asymmetric information"""
Joseph E.,Stiglitz,US,male,2001,economics,3,"""for their analyses of markets with asymmetric information"""
A. Michael,Spence,US,male,2001,economics,3,"""for their analyses of markets with asymmetric information"""
Dale T.,Mortensen,US,male,2010,economics,3,"""for their analysis of markets with search frictions"""
Peter A.,Diamond,US,male,2010,economics,3,"""for their analysis of markets with search frictions"""
Dale T.,Mortensen,US,male,2010,economics,3,"""for their analysis of markets with search frictions"""
Christopher A.,Pissarides,CY,male,2010,economics,3,"""for their analysis of markets with search frictions"""
Nicolaas,Bloembergen,NL,male,1981,physics,4,"""for their contribution to the development of laser spectroscopy"""
Arthur Leonard,Schawlow,US,male,1981,physics,4,"""for their contribution to the development of laser spectroscopy"""
William H.,Stein,US,male,1972,chemistry,4,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule"""
Stanford,Moore,US,male,1972,chemistry,4,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule"""
Frederick,Sanger,GB,male,1980,chemistry,4,"""for their contributions concerning the determination of base sequences in nucleic acids"""
Walter,Gilbert,US,male,1980,chemistry,4,"""for their contributions concerning the determination of base sequences in nucleic acids"""
Yuan T.,Lee,TW,male,1986,chemistry,3,"""for their contributions concerning the dynamics of chemical elementary processes"""
Dudley R.,Herschbach,US,male,1986,chemistry,3,"""for their contributions concerning the dynamics of chemical elementary processes"""
John C.,Polanyi,DE,male,1986,chemistry,3,"""for their contributions concerning the dynamics of chemical elementary processes"""
Edward C.,Prescott,US,male,2004,economics,2,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles"""
Finn E.,Kydland,NO,male,2004,economics,2,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles"""
Finn E.,Kydland,NO,male,2004,economics,2,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles"""
Edward C.,Prescott,US,male,2004,economics,2,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles"""
John L.,Hall,US,male,2005,physics,4,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"""
John L.,Hall,US,male,2005,physics,4,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"""
Theodor W.,H_nsch,DE,male,2005,physics,4,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"""
Theodor W.,H_nsch,DE,male,2005,physics,4,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"""
Derek H. R.,Barton,GB,male,1969,chemistry,2,"""for their contributions to the development of the concept of conformation and its application in chemistry"""
Odd,Hassel,NO,male,1969,chemistry,2,"""for their contributions to the development of the concept of conformation and its application in chemistry"""
Leonid Vitaliyevich,Kantorovich,RU,male,1975,economics,2,"""for their contributions to the theory of optimum allocation of resources"""
Tjalling C.,Koopmans,NL,male,1975,economics,2,"""for their contributions to the theory of optimum allocation of resources"""
Sheldon Lee,Glashow,US,male,1979,physics,3,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"""
Steven,Weinberg,US,male,1979,physics,3,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"""
Abdus,Salam,PK,male,1979,physics,3,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"""
Abdus,Salam,PK,male,1979,physics,3,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"""
Carlo,Rubbia,IT,male,1984,physics,2,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"""
Simon,van der Meer,NL,male,1984,physics,2,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"""
Heinrich,Rohrer,CH,male,1986,physics,4,"""for their design of the scanning tunneling microscope"""
Gerd,Binnig,DE,male,1986,physics,4,"""for their design of the scanning tunneling microscope"""
Donald J.,Cram,US,male,1987,chemistry,3,"""for their development and use of molecules with structure-specific interactions of high selectivity"""
Jean-Marie,Lehn,FR,male,1987,chemistry,3,"""for their development and use of molecules with structure-specific interactions of high selectivity"""
Jean-Marie,Lehn,FR,male,1987,chemistry,3,"""for their development and use of molecules with structure-specific interactions of high selectivity"""
Charles J.,Pedersen,KR,male,1987,chemistry,3,"""for their development and use of molecules with structure-specific interactions of high selectivity"""
Edward Mills,Purcell,US,male,1952,physics,2,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith"""
Felix,Bloch,CH,male,1952,physics,2,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith"""
Koichi,Tanaka,JP,male,2002,chemistry,4,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules"""
John B.,Fenn,US,male,2002,chemistry,4,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules"""
Georg,Wittig,DE,male,1979,chemistry,2,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"""
Herbert C.,Brown,GB,male,1979,chemistry,2,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"""
William C.,Campbell,IE,male,2015,medicine,4,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites"""
Satoshi,&#332;mura,JP,male,2015,medicine,4,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites"""
Andr_,Lwoff,FR,male,1965,medicine,3,"""for their discoveries concerning genetic control of enzyme and virus synthesis"""
Jacques,Monod,FR,male,1965,medicine,3,"""for their discoveries concerning genetic control of enzyme and virus synthesis"""
Fran�ois,Jacob,FR,male,1965,medicine,3,"""for their discoveries concerning genetic control of enzyme and virus synthesis"""
Sydney,Brenner,ZA,male,2002,medicine,3,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'"""
John E.,Sulston,GB,male,2002,medicine,3,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'"""
H. Robert,Horvitz,US,male,2002,medicine,3,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'"""
George D.,Snell,US,male,1980,medicine,3,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"""
Baruj,Benacerraf,VE,male,1980,medicine,3,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"""
Jean,Dausset,FR,male,1980,medicine,3,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"""
Werner,Forssmann,DE,male,1956,medicine,3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"""
Werner,Forssmann,DE,male,1956,medicine,3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"""
Andr_ Fr_d_ric,Cournand,FR,male,1956,medicine,3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"""
Dickinson W.,Richards,US,male,1956,medicine,3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"""
Torsten N.,Wiesel,SE,male,1981,medicine,4,"""for their discoveries concerning information processing in the visual system"""
David H.,Hubel,CA,male,1981,medicine,4,"""for their discoveries concerning information processing in the visual system"""
William Parry,Murphy,US,male,1934,medicine,3,"""for their discoveries concerning liver therapy in cases of anaemia"""
George Richards,Minot,US,male,1934,medicine,3,"""for their discoveries concerning liver therapy in cases of anaemia"""
William Parry,Murphy,US,male,1934,medicine,3,"""for their discoveries concerning liver therapy in cases of anaemia"""
George Hoyt,Whipple,US,male,1934,medicine,3,"""for their discoveries concerning liver therapy in cases of anaemia"""
Sir Peter,Mansfield,GB,male,2003,medicine,2,"""for their discoveries concerning magnetic resonance imaging"""
Paul C.,Lauterbur,US,male,2003,medicine,2,"""for their discoveries concerning magnetic resonance imaging"""
D. Carleton,Gajdusek,US,male,1976,medicine,2,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases"""
Baruch S.,Blumberg,US,male,1976,medicine,2,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases"""
Robert F.,Furchgott,US,male,1998,medicine,3,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system"""
Ferid,Murad,US,male,1998,medicine,3,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system"""
Louis J.,Ignarro,US,male,1998,medicine,3,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system"""
J. Hans D.,Jensen,DE,male,1963,physics,4,"""for their discoveries concerning nuclear shell structure"""
Joseph E.,Murray,US,male,1990,medicine,2,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease"""
E. Donnall,Thomas,US,male,1990,medicine,2,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease"""
Konrad,Lorenz,AT,male,1973,medicine,3,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns"""
Karl,von Frisch,AT,male,1973,medicine,3,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns"""
Nikolaas,Tinbergen,NL,male,1973,medicine,3,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns"""
John R.,Vane,GB,male,1982,medicine,3,"""for their discoveries concerning prostaglandins and related biologically active substances"""
Bengt I.,Samuelsson,SE,male,1982,medicine,3,"""for their discoveries concerning prostaglandins and related biologically active substances"""
Sune K.,Bergstr_m,SE,male,1982,medicine,3,"""for their discoveries concerning prostaglandins and related biologically active substances"""
Edwin G.,Krebs,US,male,1992,medicine,2,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism"""
Edmond H.,Fischer,CN,male,1992,medicine,2,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism"""
Arvid,Carlsson,SE,male,2000,medicine,3,"""for their discoveries concerning signal transduction in the nervous system"""
Paul,Greengard,US,male,2000,medicine,3,"""for their discoveries concerning signal transduction in the nervous system"""
Eric R.,Kandel,AT,male,2000,medicine,3,"""for their discoveries concerning signal transduction in the nervous system"""
Bruce A.,Beutler,US,male,2011,medicine,4,"""for their discoveries concerning the activation of innate immunity"""
Bruce A.,Beutler,US,male,2011,medicine,4,"""for their discoveries concerning the activation of innate immunity"""
Jules A.,Hoffmann,LU,male,2011,medicine,4,"""for their discoveries concerning the activation of innate immunity"""
Gerald M.,Edelman,US,male,1972,medicine,2,"""for their discoveries concerning the chemical structure of antibodies"""
Rodney R.,Porter,GB,male,1972,medicine,2,"""for their discoveries concerning the chemical structure of antibodies"""
Erwin,Neher,DE,male,1991,medicine,2,"""for their discoveries concerning the function of single ion channels in cells"""
Bert,Sakmann,DE,male,1991,medicine,2,"""for their discoveries concerning the function of single ion channels in cells"""
Edward B.,Lewis,US,male,1995,medicine,3,"""for their discoveries concerning the genetic control of early embryonic development"""
Eric F.,Wieschaus,US,male,1995,medicine,3,"""for their discoveries concerning the genetic control of early embryonic development"""
Julius,Axelrod,US,male,1970,medicine,3,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation"""
Sir Bernard,Katz,DE,male,1970,medicine,3,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation"""
Ulf,von Euler,SE,male,1970,medicine,3,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation"""
David,Baltimore,US,male,1975,medicine,3,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell"""
Renato,Dulbecco,IT,male,1975,medicine,3,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell"""
Howard Martin,Temin,US,male,1975,medicine,3,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell"""
Alan Lloyd,Hodgkin,GB,male,1963,medicine,3,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane"""
Sir John Carew,Eccles,AU,male,1963,medicine,3,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane"""
Andrew Fielding,Huxley,GB,male,1963,medicine,3,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane"""
Konrad,Bloch,PL,male,1964,medicine,2,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism"""
Feodor,Lynen,DE,male,1964,medicine,2,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism"""
Francis Harry Compton,Crick,GB,male,1962,medicine,3,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material"""
James Dewey,Watson,US,male,1962,medicine,3,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material"""
Maurice Hugh Frederick,Wilkins,NZ,male,1962,medicine,3,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material"""
Andrew V.,Schally,LT,male,1977,medicine,4,"""for their discoveries concerning the peptide hormone production of the brain"""
Roger,Guillemin,FR,male,1977,medicine,4,"""for their discoveries concerning the peptide hormone production of the brain"""
George,Wald,US,male,1967,medicine,3,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye"""
Haldan Keffer,Hartline,US,male,1967,medicine,3,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye"""
Ragnar,Granit,FI,male,1967,medicine,3,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye"""
Joseph L.,Goldstein,US,male,1985,medicine,2,"""for their discoveries concerning the regulation of cholesterol metabolism"""
Michael S.,Brown,US,male,1985,medicine,2,"""for their discoveries concerning the regulation of cholesterol metabolism"""
Salvador E.,Luria,IT,male,1969,medicine,3,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses"""
Alfred D.,Hershey,US,male,1969,medicine,3,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses"""
Max,Delbrôck,DE,male,1969,medicine,3,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses"""
Peter C.,Doherty,AU,male,1996,medicine,2,"""for their discoveries concerning the specificity of the cell mediated immune defence"""
Rolf M.,Zinkernagel,CH,male,1996,medicine,2,"""for their discoveries concerning the specificity of the cell mediated immune defence"""
Christian,de Duve,GB,male,1974,medicine,3,"""for their discoveries concerning the structural and functional organization of the cell"""
Albert,Claude,BE,male,1974,medicine,3,"""for their discoveries concerning the structural and functional organization of the cell"""
George E.,Palade,RO,male,1974,medicine,3,"""for their discoveries concerning the structural and functional organization of the cell"""
Christian,de Duve,GB,male,1974,medicine,3,"""for their discoveries concerning the structural and functional organization of the cell"""
Edwin Mattison,McMillan,US,male,1951,chemistry,2,"""for their discoveries in the chemistry of the transuranium elements"""
Glenn Theodore,Seaborg,US,male,1951,chemistry,2,"""for their discoveries in the chemistry of the transuranium elements"""
Giulio,Natta,IT,male,1963,chemistry,2,"""for their discoveries in the field of the chemistry and technology of high polymers"""
Karl,Ziegler,DE,male,1963,chemistry,2,"""for their discoveries in the field of the chemistry and technology of high polymers"""
John,O'Keefe,US,male,2014,medicine,2,"""for their discoveries of cells that constitute a positioning system in the brain"""
Edvard I.,Moser,NO,male,2014,medicine,4,"""for their discoveries of cells that constitute a positioning system in the brain"""
Stanley,Cohen,US,male,1986,medicine,2,"""for their discoveries of growth factors"""
Sir James W.,Black,GB,male,1988,medicine,3,"""for their discoveries of important principles for drug treatment"""
George H.,Hitchings,US,male,1988,medicine,3,"""for their discoveries of important principles for drug treatment"""
Tim,Hunt,GB,male,2001,medicine,3,"""for their discoveries of key regulators of the cell cycle"""
Sir Paul M.,Nurse,GB,male,2001,medicine,3,"""for their discoveries of key regulators of the cell cycle"""
Leland H.,Hartwell,US,male,2001,medicine,3,"""for their discoveries of key regulators of the cell cycle"""
Randy W.,Schekman,US,male,2013,medicine,3,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"""
James E.,Rothman,US,male,2013,medicine,3,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"""
Thomas C.,Sôdhof,DE,male,2013,medicine,3,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"""
Randy W.,Schekman,US,male,2013,medicine,3,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"""
Thomas C.,Sôdhof,DE,male,2013,medicine,3,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"""
Richard,Axel,US,male,2004,medicine,2,"""for their discoveries of odorant receptors and the organization of the olfactory system"""
Sir Martin J.,Evans,GB,male,2007,medicine,3,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells"""
Oliver,Smithies,GB,male,2007,medicine,3,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells"""
Mario R.,Capecchi,IT,male,2007,medicine,3,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells"""
Mario R.,Capecchi,IT,male,2007,medicine,3,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells"""
Richard J.,Roberts,GB,male,1993,medicine,2,"""for their discoveries of split genes"""
Phillip A.,Sharp,US,male,1993,medicine,2,"""for their discoveries of split genes"""
Edgar Douglas,Adrian,GB,male,1932,medicine,2,"""for their discoveries regarding the functions of neurons"""
Sir Charles Scott,Sherrington,GB,male,1932,medicine,2,"""for their discoveries regarding the functions of neurons"""
Otto,Loewi,DE,male,1936,medicine,2,"""for their discoveries relating to chemical transmission of nerve impulses"""
Sir Henry Hallett,Dale,GB,male,1936,medicine,2,"""for their discoveries relating to chemical transmission of nerve impulses"""
Herbert Spencer,Gasser,US,male,1944,medicine,2,"""for their discoveries relating to the highly differentiated functions of single nerve fibres"""
Joseph,Erlanger,US,male,1944,medicine,2,"""for their discoveries relating to the highly differentiated functions of single nerve fibres"""
Tadeus,Reichstein,PL,male,1950,medicine,3,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects"""
Edward Calvin,Kendall,US,male,1950,medicine,3,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects"""
Philip Showalter,Hench,US,male,1950,medicine,3,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects"""
Kurt,Alder,PL,male,1950,chemistry,2,"""for their discovery and development of the diene synthesis"""
Otto Paul Hermann,Diels,DE,male,1950,chemistry,2,"""for their discovery and development of the diene synthesis"""
Horst L.,St_rmer,DE,male,1998,physics,3,"""for their discovery of a new form of quantum fluid with fractionally charged excitations"""
Daniel C.,Tsui,CN,male,1998,physics,3,"""for their discovery of a new form of quantum fluid with fractionally charged excitations"""
Robert B.,Laughlin,US,male,1998,physics,3,"""for their discovery of a new form of quantum fluid with fractionally charged excitations"""
Thomas R.,Cech,US,male,1989,chemistry,2,"""for their discovery of catalytic properties of RNA"""
Sidney,Altman,CA,male,1989,chemistry,2,"""for their discovery of catalytic properties of RNA"""
Arno Allan,Penzias,DE,male,1978,physics,4,"""for their discovery of cosmic microwave background radiation"""
Robert Woodrow,Wilson,US,male,1978,physics,4,"""for their discovery of cosmic microwave background radiation"""
Sir Harold W.,Kroto,GB,male,1996,chemistry,3,"""for their discovery of fullerenes"""
Robert F.,Curl Jr.,US,male,1996,chemistry,3,"""for their discovery of fullerenes"""
Richard E.,Smalley,US,male,1996,chemistry,3,"""for their discovery of fullerenes"""
Alfred G.,Gilman,US,male,1994,medicine,2,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells"""
Martin,Rodbell,US,male,1994,medicine,2,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells"""
Luc,Montagnier,FR,male,2008,medicine,4,"""for their discovery of human immunodeficiency virus"""
Andrew Z.,Fire,US,male,2006,medicine,2,"""for their discovery of RNA interference - gene silencing by double-stranded RNA"""
Craig C.,Mello,US,male,2006,medicine,2,"""for their discovery of RNA interference - gene silencing by double-stranded RNA"""
David M.,Lee,US,male,1996,physics,3,"""for their discovery of superfluidity in helium-3"""
Robert C.,Richardson,US,male,1996,physics,3,"""for their discovery of superfluidity in helium-3"""
Douglas D.,Osheroff,US,male,1996,physics,3,"""for their discovery of superfluidity in helium-3"""
Thomas Huckle,Weller,US,male,1954,medicine,3,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue"""
John Franklin,Enders,US,male,1954,medicine,3,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue"""
John Franklin,Enders,US,male,1954,medicine,3,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue"""
Frederick Chapman,Robbins,US,male,1954,medicine,3,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue"""
Emilio Gino,Segr�,IT,male,1959,physics,2,"""for their discovery of the antiproton"""
Owen,Chamberlain,US,male,1959,physics,2,"""for their discovery of the antiproton"""
Barry J.,Marshall,AU,male,2005,medicine,2,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease"""
J. Robin,Warren,AU,male,2005,medicine,2,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease"""
Barry J.,Marshall,AU,male,2005,medicine,2,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease"""
George F.,Smoot,US,male,2006,physics,2,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation"""
John C.,Mather,US,male,2006,physics,2,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation"""
J. Michael,Bishop,US,male,1989,medicine,2,"""for their discovery of the cellular origin of retroviral oncogenes"""
Harold E.,Varmus,US,male,1989,medicine,2,"""for their discovery of the cellular origin of retroviral oncogenes"""
Carl Ferdinand,Cori,CZ,male,1947,medicine,4,"""for their discovery of the course of the catalytic conversion of glycogen"""
James,Franck,DE,male,1925,physics,2,"""for their discovery of the laws governing the impact of an electron upon an atom"""
Gustav Ludwig,Hertz,DE,male,1925,physics,2,"""for their discovery of the laws governing the impact of an electron upon an atom"""
Severo,Ochoa,ES,male,1959,medicine,2,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid"""
Arthur,Kornberg,US,male,1959,medicine,2,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid"""
Edward Lawrie,Tatum,US,male,1958,medicine,4,"""for their discovery that genes act by regulating definite chemical events"""
George Wells,Beadle,US,male,1958,medicine,4,"""for their discovery that genes act by regulating definite chemical events"""
Albert Arnold (Al),Gore Jr.,US,male,2007,peace,2,"""for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change"""
Muhammad,Yunus,BD,male,2006,peace,2,"""for their efforts to create economic and social development from below"""
Yitzhak,Rabin,IL,male,1994,peace,3,"""for their efforts to create peace in the Middle East"""
Shimon,Peres,BY,male,1994,peace,3,"""for their efforts to create peace in the Middle East"""
Yasser,Arafat,EG,male,1994,peace,3,"""for their efforts to create peace in the Middle East"""
Joseph,Rotblat,PL,male,1995,peace,2,"""for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms"""
John,Hume,GB,male,1998,peace,2,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland"""
David,Trimble,GB,male,1998,peace,2,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland"""
Mohamed,ElBaradei,EG,male,2005,peace,2,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way"""
John E.,Walker,GB,male,1997,chemistry,4,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)"""
Paul D.,Boyer,US,male,1997,chemistry,4,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)"""
Eugene F.,Fama,US,male,2013,economics,3,"""for their empirical analysis of asset prices"""
Lars Peter,Hansen,US,male,2013,economics,3,"""for their empirical analysis of asset prices"""
Robert J.,Shiller,US,male,2013,economics,3,"""for their empirical analysis of asset prices"""
Thomas J.,Sargent,US,male,2011,economics,2,"""for their empirical research on cause and effect in the macroeconomy"""
Christopher A.,Sims,US,male,2011,economics,2,"""for their empirical research on cause and effect in the macroeconomy"""
Ivar,Giaever,NO,male,1973,physics,4,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively"""
Leo,Esaki,JP,male,1973,physics,4,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively"""
George Paget,Thomson,GB,male,1937,physics,2,"""for their experimental discovery of the diffraction of electrons by crystals"""
Clinton Joseph,Davisson,US,male,1937,physics,2,"""for their experimental discovery of the diffraction of electrons by crystals"""
James A.,Mirrlees,GB,male,1996,economics,2,"""for their fundamental contributions to the economic theory of incentives under asymmetric information"""
William,Vickrey,CA,male,1996,economics,2,"""for their fundamental contributions to the economic theory of incentives under asymmetric information"""
