firstname,surname,bornCountryCode,gender,year,category,share,motivation
Vernon L.,Smith,US,male,2002,economics,2,"""for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms"""
Gary S.,Becker,US,male,1992,economics,1,"""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour"""
Gerard,Debreu,FR,male,1983,economics,1,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium"""
Daniel,Kahneman,IL,male,2002,economics,2,"""for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty"""
Roger B.,Myerson,US,male,2007,economics,3,"""for having laid the foundations of mechanism design theory"""
Leonid,Hurwicz,RU,male,2007,economics,3,"""for having laid the foundations of mechanism design theory"""
Eric S.,Maskin,US,male,2007,economics,3,"""for having laid the foundations of mechanism design theory"""
Richard,Stone,GB,male,1984,economics,1,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis"""
Robert W.,Fogel,US,male,1993,economics,2,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change"""
Douglass C.,North,US,male,1993,economics,2,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change"""
Sir Vidiadhar Surajprasad,Naipaul,TT,male,2001,literature,1,"""for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories"""
Milton,Friedman,US,male,1976,economics,1,"""for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy"""
William Butler,Yeats,IE,male,1923,literature,1,"""for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation"""
Angus,Deaton,GB,male,2015,economics,1,"""for his analysis of consumption, poverty, and welfare"""
Oliver E.,Williamson,US,male,2009,economics,2,"""for his analysis of economic governance, especially the boundaries of the firm"""
James,Tobin,US,male,1981,economics,1,"""for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices"""
Edmund S.,Phelps,US,male,2006,economics,1,"""for his analysis of intertemporal tradeoffs in macroeconomic policy"""
Jean,Tirole,FR,male,2014,economics,1,"""for his analysis of market power and regulation"""
Robert A.,Mundell,CA,male,1999,economics,1,"""for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas"""
Paul,Krugman,US,male,2008,economics,1,"""for his analysis of trade patterns and location of economic activity"""
Henrik,Pontoppidan,DK,male,1917,literature,2,"""for his authentic descriptions of present-day life in Denmark"""
Pyotr Leonidovich,Kapitsa,RU,male,1978,physics,2,"""for his basic inventions and discoveries in the area of low-temperature physics"""
Eduard,Buchner,DE,male,1907,chemistry,1,"""for his biochemical researches and his discovery of cell-free fermentation"""
Luigi,Pirandello,IT,male,1934,literature,1,"""for his bold and ingenious revival of dramatic and scenic art"""
Mario,Vargas Llosa,PE,male,2010,literature,1,"""for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat"""
Trygve,Haavelmo,NO,male,1989,economics,1,"""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures"""
Andr_ Paul Guillaume,Gide,FR,male,1947,literature,1,"""for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight"""
George A.,Olah,HU,male,1994,chemistry,1,"""for his contribution to carbocation chemistry"""
Kai M.,Siegbahn,SE,male,1981,physics,2,"""for his contribution to the development of high-resolution electron spectroscopy"""
Otto,Stern,PL,male,1943,physics,1,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton"""
Roy J.,Glauber,US,male,2005,physics,2,"""for his contribution to the quantum theory of optical coherence"""
Peter D.,Mitchell,GB,male,1978,chemistry,1,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory"""
Murray,Gell-Mann,US,male,1969,physics,1,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions"""
William Francis,Giauque,CA,male,1949,chemistry,1,"""for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures"""
Ilya,Prigogine,RU,male,1977,chemistry,1,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures"""
Ilya,Prigogine,RU,male,1977,chemistry,1,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures"""
Petrus (Peter) Josephus Wilhelmus,Debye,NL,male,1936,chemistry,1,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases"""
Petrus (Peter) Josephus Wilhelmus,Debye,NL,male,1936,chemistry,1,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases"""
Frederick,Soddy,GB,male,1921,chemistry,1,"""for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes"""
Richard R.,Ernst,CH,male,1991,chemistry,1,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy"""
Gerhard,Herzberg,DE,male,1971,chemistry,1,"""for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals"""
Robert M.,Solow,US,male,1987,economics,1,"""for his contributions to the theory of economic growth"""
Rudolph A.,Marcus,CA,male,1992,chemistry,1,"""for his contributions to the theory of electron transfer reactions in chemical systems"""
Hans Albrecht,Bethe,FR,male,1967,physics,1,"""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars"""
Eugene Paul,Wigner,HU,male,1963,physics,2,"""for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles"""
Amartya,Sen,IN,male,1998,economics,1,"""for his contributions to welfare economics"""
Jimmy,Carter,US,male,2002,peace,1,"""for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development"""
Luis Walter,Alvarez,US,male,1968,physics,1,"""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis"""
Frans Eemil,Sillanp__,FI,male,1939,literature,1,"""for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature"""
Richard Adolf,Zsigmondy,AT,male,1925,chemistry,1,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry"""
Frits,Zernike,NL,male,1953,physics,1,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope"""
Enrico,Fermi,IT,male,1938,physics,1,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons"""
John A.,Pople,GB,male,1998,chemistry,2,"""for his development of computational methods in quantum chemistry"""
Aaron,Klug,LT,male,1982,chemistry,1,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes"""
Robert Bruce,Merrifield,US,male,1984,chemistry,1,"""for his development of methodology for chemical synthesis on a solid matrix"""
Kurt,Wôthrich,CH,male,2002,chemistry,2,"""for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution"""
